의류수거함,위치,위도,경도
난곡동-38,서울특별시 관악구 법원단지16길 1,37.4742971696,126.9219458332
난곡동-39,서울특별시 관악구 법원단지18길 13,37.4739892756,126.9227396541
난곡동-40,서울특별시 관악구 법원단지18길 30,37.4734082224,126.9228899298
난곡동-41,서울특별시 관악구 법원단지20길 28,37.4735771818,126.9233360767
난곡동-42,서울특별시 관악구 법원단지24길 26,37.4741397494,126.9238579090
난곡동-43,서울특별시 관악구 법원단지25길 17,37.4759391200,126.9228303507
난곡동-44,서울특별시 관악구 법원단지26길 25,37.4744451032,126.9244218372
난곡동-45,서울특별시 관악구 법원단지28길 26,37.4745326927,126.9245805859
난곡동-46,서울특별시 관악구 법원단지29길 22,37.4765717897,126.9236329508
난곡동-47,서울특별시 관악구 법원단지30길 14,37.4751032069,126.9245724381
난곡동-48,서울특별시 관악구 법원단지30길 27,37.4746997836,126.9252163325
난곡동-49,서울특별시 관악구 법원단지31길 16,37.4764669776,126.9240138237
난곡동-50,서울특별시 관악구 법원단지32길 28,37.4747631027,126.9253242336
난곡동-51,서울특별시 관악구 법원단지33길 11,37.4763658672,126.9242678453
난곡동-52,서울특별시 관악구 법원단지34길 3,37.4759479936,126.9248552400
난곡동-53,서울특별시 관악구 법원단지36길 1,37.4760775331,126.9250987406
난곡동-54,서울특별시 관악구 법원단지5가길 69,37.4764547624,126.9226843198
난곡동-55,서울특별시 관악구 법원단지5가길 84,37.4766586441,126.9234891703
난곡동-56,서울특별시 관악구 법원단지5가길 92,37.4768475353,126.9238293854
난곡동-57,서울특별시 관악구 법원단지5나길 28,37.4755777775,126.9205977036
난곡동-58,서울특별시 관악구 법원단지7길 18,37.4749165191,126.9209899015
난곡동-59,서울특별시 관악구 법원단지길 115,37.4752548313,126.9231499748
난곡동-60,서울특별시 관악구 법원단지길 130,37.4754973076,126.9240084745
난곡동-61,서울특별시 관악구 법원단지길 138,37.4756617961,126.9243738081
난향동-1,서울특별시 관악구 난곡로11길 33,37.4655214347,126.9175920438
난향동-2,서울특별시 관악구 난곡로11길 5,37.4651778391,126.9190987536
난향동-3,서울특별시 관악구 난곡로15길 14,37.4671379918,126.9196315470
난향동-4,서울특별시 관악구 난곡로9길 11 버스종점,37.4644320813,126.9184567215
난향동-5,서울특별시 관악구 난향10길 1,37.4630734294,126.9156095153
난향동-6,서울특별시 관악구 난향12길 3,37.4632686689,126.9152183105
난향동-7,서울특별시 관악구 난향15길 11,37.4634144147,126.9141673775
난향동-8,서울특별시 관악구 난향6길 15,37.4634582121,126.9170813576
난향동-9,서울특별시 관악구 난향6길 31,37.4638674002,126.9163692365
난향동-10,서울특별시 관악구 난향6길 31,37.4638674002,126.9163692365
난향동-11,서울특별시 관악구 난향7길 42,37.4608059697,126.9152685638
난향동-12,서울특별시 관악구 난향7길 60,37.4599784033,126.9151612155
난향동-13,서울특별시 관악구 난향9길 17,37.4621560451,126.9151421394
난향동-14,서울특별시 관악구 난향9길 61,37.4602072643,126.9149160217
난향동-15,서울특별시 관악구 난향길 37,37.4628735092,126.9171577359
난향동-16,서울특별시 관악구 난향길 37,37.4628735092,126.9171577359
남현동-1,서울특별시 관악구 남부순환로256가길 10,37.4753238041,126.9723661428
남현동-2,서울특별시 관악구 남부순환로256가길 6,37.4752016564,126.9721072982
남현동-3,서울특별시 관악구 남부순환로256나길 21,37.4725788423,126.9729959280
남현동-4,서울특별시 관악구 남부순환로256나길 7,37.4731338848,126.9734830831
남현동-5,서울특별시 관악구 남부순환로256다길 17,37.4726776864,126.9734076149
남현동-6,서울특별시 관악구 남부순환로256다길 5,37.4728593218,126.9737737153
남현동-7,서울특별시 관악구 남부순환로256라길 16,37.4724667065,126.9735713833
남현동-8,서울특별시 관악구 남부순환로256라길 26,37.4721187461,126.9732147276
남현동-9,서울특별시 관악구 남부순환로260길 27,37.4747924075,126.9728368593
남현동-10,서울특별시 관악구 남부순환로260길 36,37.4746436317,126.9723661671
남현동-11,서울특별시 관악구 남부순환로260길 43 우,37.4742263571,126.9722941944
남현동-12,서울특별시 관악구 남부순환로260길 43 좌,37.4742263571,126.9722941944
남현동-13,서울특별시 관악구 남부순환로260길 72,37.4732251523,126.9722839373
남현동-14,서울특별시 관악구 남부순환로260길 99 아래,37.4721997076,126.9722630630
남현동-15,서울특별시 관악구 남부순환로260길 99 위,37.4721997076,126.9722630630
남현동-16,서울특별시 관악구 남부순환로262길 24,37.4750775170,126.9750143648
남현동-17,서울특별시 관악구 남부순환로272길 55,37.4740337195,126.9783224564
남현동-18,서울특별시 관악구 남부순환로272길 23,37.4753541227,126.9786698244
남현동-19,서울특별시 관악구 남부순환로272길 28,37.4752788112,126.9782463517
남현동-20,서울특별시 관악구 남현12길 18,37.4717887253,126.9729041919
남현동-21,서울특별시 관악구 남현1가길 12-8,37.4754193795,126.9773450559
남현동-22,서울특별시 관악구 남현1가길 4,37.4757106331,126.9775923279
남현동-23,서울특별시 관악구 남현1가길 42-5,37.4741190206,126.9772338674
남현동-24,서울특별시 관악구 남현2길 93,37.4742862245,126.9728562612
