관리단체,의류수거함관리코드,행정동,도로명주소,위도,경도,데이터기준일
강북장애인단체총연합회,송중9-37,송중동,서울특별시 강북구 도봉로20가길 7,37.61888684,127.0297406,2025-03-24
강북장애인단체총연합회,삼양-63,삼양동,서울특별시 강북구 인수봉로6가길 13,37.62245064,127.0139823,2025-03-24
강북장애인단체총연합회,수유1-15,수유1동,서울특별시 강북구 인수봉로28가길 8-3,37.62886883,127.0132405,2025-03-24
강북장애인단체총연합회,삼양-10,삼양동,서울특별시 강북구 솔매로7다길 16-7,37.62668221,127.0135866,2025-03-24
강북장애인단체총연합회,미아3-36,미아동,서울특별시 강북구 도봉로72길 38,37.63221109,127.0262028,2025-03-24
강북장애인단체총연합회,인수-16,인수동,서울특별시 강북구 인수봉로76길 15,37.64368647,127.0116397,2025-03-24
강북장애인단체총연합회,수유2-19,수유2동,서울특별시 강북구 삼양로130길 8,37.6465929,127.0154881,2025-03-24
강북장애인단체총연합회,번1-54,번1동,서울특별시 강북구 도봉로96길 87-7,37.63862811,127.0329855,2025-03-24
강북장애인단체총연합회,수유3-14,수유3동,서울특별시 강북구 노해로9길 82,37.63824788,127.0174789,2025-03-24
강북장애인단체총연합회,번1-1,번1동,서울특별시 강북구 덕릉로 147,37.63536096,127.0301272,2025-03-24
강북장애인단체총연합회,인수-40,인수동,서울특별시 강북구 인수봉로 203,37.637843,127.013224,2025-03-24
강북장애인단체총연합회,송천5-5,송천동,서울특별시 강북구 도봉로29길 63,37.61995453,127.0248105,2025-03-24
강북장애인단체총연합회,우이-62,우이동,서울특별시 강북구 인수봉로 305-1,37.64620614,127.0101786,2025-03-24
강북장애인단체총연합회,수유3-38,수유3동,서울특별시 강북구 한천로150길 16-17,37.64299875,127.0242945,2025-03-24
강북장애인단체총연합회,송중8-28,미아동,서울특별시 강북구 솔매로49길 14,37.62709054,127.0269719,2025-03-24
강북장애인단체총연합회,번2-24,번2동,서울특별시 강북구 오현로21길 116,37.62627446,127.0329301,2025-03-24
강북장애인단체총연합회,수유1-39,수유1동,서울특별시 강북구 인수봉로20길 32,37.62670831,127.0123967,2025-03-24
강북장애인단체총연합회,우이-5,우이동,서울특별시 강북구 삼양로165길 48,37.66094528,127.0121253,2025-03-24
강북장애인단체총연합회,인수-59,인수동,서울특별시 강북구 삼각산로22길 2,37.64054787,127.0166782,2025-03-24
강북장애인단체총연합회,송중9-17,송중동,서울특별시 강북구 오패산로52라길 35,37.62367287,127.0332243,2025-03-24
강북장애인단체총연합회,번1-29,번1동,서울특별시 강북구 한천로130길 19,37.63864595,127.0307644,2025-03-24
강북장애인단체총연합회,미아3-68,미아동,서울특별시 강북구 오패산로52아길 28,37.62761548,127.030545,2025-03-24
강북장애인단체총연합회,우이-29,우이동,서울특별시 강북구 삼양로159길 20,37.65790525,127.0127776,2025-03-24
강북장애인단체총연합회,삼양-38,삼양동,서울특별시 강북구 인수봉로17길 11,37.62479435,127.0119462,2025-03-24
강북장애인단체총연합회,수유2-18,수유2동,서울특별시 강북구 삼양로124길 7-14,37.64592531,127.0164714,2025-03-24
강북장애인단체총연합회,송천5-29,송천동,서울특별시 강북구 삼양로28길 8-11,37.61805689,127.0219694,2025-03-24
강북장애인단체총연합회,미아3-11,미아동,서울특별시 강북구 삼양로54길 125,37.62359535,127.0248876,2025-03-24
강북장애인단체총연합회,송중9-36,송중동,서울특별시 강북구 도봉로22길 18,37.61911319,127.0309724,2025-03-24
강북장애인단체총연합회,삼양-62,삼양동,서울특별시 강북구 삼양로41길 73,37.62152982,127.0159315,2025-03-24
강북장애인단체총연합회,수유1-14,수유1동,서울특별시 강북구 삼양로77가길 90,37.62832799,127.0132137,2025-03-24
강북장애인단체총연합회,삼양-9,삼양동,서울특별시 강북구 인수봉로20나길 38,37.62665345,127.0144593,2025-03-24
강북장애인단체총연합회,미아3-35,미아동,서울특별시 강북구 도봉로68길 19-3,37.63143857,127.0253971,2025-03-24
강북장애인단체총연합회,인수-15,인수동,서울특별시 강북구 인수봉로 278,37.64353786,127.0111091,2025-03-24
강북장애인단체총연합회,번2-23,번2동,서울특별시 강북구 오현로25라길 69,37.62628903,127.0336096,2025-03-24
강북장애인단체총연합회,번1-53,번1동,서울특별시 강북구 도봉로96길 65-6,37.63912559,127.0321179,2025-03-24
강북장애인단체총연합회,수유3-13,수유3동,서울특별시 강북구 노해로9길 75,37.63795161,127.0176074,2025-03-24
강북장애인단체총연합회,삼양-81,삼양동,서울특별시 강북구 솔샘로47길 27,37.62122291,127.0180312,2025-03-24
강북장애인단체총연합회,인수-39,인수동,서울특별시 강북구 인수봉로 229,37.63966498,127.0123728,2025-03-24
강북장애인단체총연합회,송천5-4,송천동,서울특별시 강북구 도봉로29길 67,37.61996984,127.0244818,2025-03-24
강북장애인단체총연합회,우이-61,우이동,서울특별시 강북구 4.19로9길 5,37.64677685,127.0094685,2025-03-24
강북장애인단체총연합회,수유3-37,수유3동,서울특별시 강북구 한천로150길 6-21,37.64263576,127.0239819,2025-03-24
강북장애인단체총연합회,송중8-27,송중동,서울특별시 강북구 오패산로35길 8,37.61487865,127.0332134,2025-03-24
강북장애인단체총연합회,수유2-17,수유2동,서울특별시 강북구 삼양로124길 7-9,37.6456339,127.0161013,2025-03-24
강북장애인단체총연합회,수유1-38,수유1동,서울특별시 강북구 인수봉로19길 33,37.62666023,127.0120349,2025-03-24
강북장애인단체총연합회,우이-4,우이동,서울특별시 강북구 삼양로169길 12-5,37.66144392,127.0124927,2025-03-24
강북장애인단체총연합회,인수-58,인수동,서울특별시 강북구 삼각산로17길 3,37.6408297,127.0148162,2025-03-24
강북장애인단체총연합회,송중9-16,송중동,서울특별시 강북구 오패산로52라길 62,37.62255718,127.0334199,2025-03-24
강북장애인단체총연합회,번1-28,번1동,서울특별시 강북구 한천로124나길 51,37.63877691,127.0302529,2025-03-24
강북장애인단체총연합회,미아3-67,미아동,서울특별시 강북구 오패산로52길 123,37.62785362,127.0310177,2025-03-24
강북장애인단체총연합회,우이-28,우이동,서울특별시 강북구 삼양로155길 59,37.65788838,127.0118371,2025-03-24
강북장애인단체총연합회,삼양-37,삼양동,서울특별시 강북구 인수봉로17길 15,37.62467457,127.0116306,2025-03-24
강북장애인단체총연합회,번2-22,번2동,서울특별시 강북구 오현로25라길 61,37.62652698,127.0340597,2025-03-24
강북장애인단체총연합회,송천5-28,송천동,서울특별시 강북구 삼양로24길 52-8,37.61819183,127.0230325,2025-03-24
강북장애인단체총연합회,미아3-10,미아동,서울특별시 강북구 도봉로45길 46,37.62387786,127.0241816,2025-03-24
강북장애인단체총연합회,송중9-35,송중동,서울특별시 강북구 도봉로18다길 8,37.61914626,127.0317083,2025-03-24
강북장애인단체총연합회,삼양-61,삼양동,서울특별시 강북구 삼양로41길 52,37.62178391,127.0172309,2025-03-24
강북장애인단체총연합회,수유1-13,수유1동,서울특별시 강북구 인수봉로 109,37.62970046,127.0124818,2025-03-24
