행정동,도로명주소,위도,경도,데이터기준일자
독산2동,서울특별시 금천구 독산로68길 48,37.46670544,126.9043016,2025-01-02
독산2동,서울특별시 금천구 독산로64길 81,37.46685497,126.9066161,2025-01-02
독산2동,서울특별시 금천구 독산로64길 95,37.46676974,126.907312,2025-01-02
독산2동,서울특별시 금천구 독산로64길 107,37.4666746,126.9080176,2025-01-02
독산2동,서울특별시 금천구 독산로58나길 66,37.46592459,126.9067413,2025-01-02
독산2동,서울특별시 금천구 독산로58길 25,37.46466297,126.9043428,2025-01-02
독산2동,서울특별시 금천구 독산로58가길 6,37.46413011,126.9042278,2025-01-02
독산2동,서울특별시 금천구 독산로58가길 14,37.46401023,126.9046162,2025-01-02
독산2동,서울특별시 금천구 독산로58나길 5,37.46460786,126.9048322,2025-01-02
독산2동,서울특별시 금천구 독산로58나길 12,37.46431447,126.9050271,2025-01-02
독산2동,서울특별시 금천구 독산로58나길 26,37.46417703,126.9058813,2025-01-02
독산2동,서울특별시 금천구 독산로58나길 35,37.46461589,126.9060788,2025-01-02
독산2동,서울특별시 금천구 독산로58나길 48,37.46504038,126.9065612,2025-01-02
독산2동,서울특별시 금천구 독산로58나길 56,37.4655208,126.9066755,2025-01-02
독산2동,서울특별시 금천구 독산로58가길 68,37.4649635,126.9069891,2025-01-02
독산2동,서울특별시 금천구 독산로58가길 78,37.46543734,126.9071096,2025-01-02
독산2동,서울특별시 금천구 독산로58가길 47,37.46426568,126.9064331,2025-01-02
독산2동,서울특별시 금천구 독산로58가길 46,37.46391654,126.9064427,2025-01-02
독산2동,서울특별시 금천구 시흥대로 336,37.46360758,126.8978438,2025-01-02
독산3동,서울특별시 금천구 문성로 12,37.47615061,126.9049385,2025-01-02
독산3동,서울특별시 금천구 문성로 16,37.4762893,126.9054148,2025-01-02
독산3동,서울특별시 금천구 문성로 22,37.47638148,126.9061068,2025-01-02
독산3동,서울특별시 금천구 문성로 30,37.47645749,126.9068561,2025-01-02
독산3동,서울특별시 금천구 문성로 40,37.47657022,126.9080269,2025-01-02
독산3동,서울특별시 금천구 문성로 46,37.47664146,126.9086837,2025-01-02
독산3동,서울특별시 금천구 문성로 31,37.47684198,126.9071148,2025-01-02
독산3동,서울특별시 금천구 문성로 13,37.47656243,126.9051164,2025-01-02
독산3동,서울특별시 금천구 문성로1길 28,37.47761308,126.9045383,2025-01-02
독산3동,서울특별시 금천구 독산로106길 9,37.47812524,126.9042406,2025-01-02
독산3동,서울특별시 금천구 문성로1길 47,37.47854045,126.9043848,2025-01-02
독산3동,서울특별시 금천구 독산로108길 9,37.47945294,126.9045343,2025-01-02
독산3동,서울특별시 금천구 문성로5길 33,37.47838738,126.9049559,2025-01-02
독산3동,서울특별시 금천구 문성로5가길 13,37.47915511,126.9058309,2025-01-02
독산3동,서울특별시 금천구 남부순환로126길 36,37.47866936,126.9063731,2025-01-02
독산3동,서울특별시 금천구 남부순환로126길 48,37.47814773,126.9067926,2025-01-02
독산3동,서울특별시 금천구 독산로106길 70,37.47823282,126.9077462,2025-01-02
독산3동,서울특별시 금천구 남부순환로126길 25,37.47926857,126.9072194,2025-01-02
독산3동,서울특별시 금천구 독산로108길 44,37.47949493,126.9063493,2025-01-02
독산3동,서울특별시 금천구 문성로 35-6,37.47705548,126.9077668,2025-01-02
독산3동,서울특별시 금천구 문성로3길 100,37.47747305,126.9099128,2025-01-02
독산3동,서울특별시 금천구 독산로108길 91,37.48021492,126.9089887,2025-01-02
독산3동,서울특별시 금천구 남부순환로130길 20,0.00E+00,0.00E+00,2025-01-02
독산3동,서울특별시 금천구 독산로107길 13,37.47788518,126.9027669,2025-01-02
독산3동,서울특별시 금천구 남부순환로 1362,37.47930142,126.9021521,2025-01-02
독산3동,서울특별시 금천구 남부순환로122길 10,37.47895311,126.9020652,2025-01-02
독산3동,서울특별시 금천구 독산로109길 48,37.4788624,126.9011257,2025-01-02
독산3동,서울특별시 금천구 시흥대로152길 15,37.47696919,126.8998262,2025-01-02
독산3동,서울특별시 금천구 시흥대로150길 11-17,37.47653459,126.8994523,2025-01-02
독산3동,서울특별시 금천구 시흥대로150길 21,37.4758399,126.9000786,2025-01-02
독산3동,서울특별시 금천구 시흥대로152길 25,37.47758559,126.8999594,2025-01-02
독산3동,서울특별시 금천구 남부순환로120길 17-21,37.47774933,126.9018091,2025-01-02
독산3동,서울특별시 금천구 시흥대로150길 81,37.47748375,126.902625,2025-01-02
독산3동,서울특별시 금천구 시흥대로150길 85,37.47753213,126.902726,2025-01-02
독산3동,서울특별시 금천구 독산로101길 59,37.47767357,126.9028148,2025-01-02
독산3동,서울특별시 금천구 남부순환로132길 7,37.48018196,126.9083072,2025-01-02
독산3동,서울특별시 금천구 독산로101길 11,37.47564948,126.9026265,2025-01-02
독산3동,서울특별시 금천구 독산로101길 1,37.4751159,126.902624,2025-01-02
독산3동,서울특별시 금천구 독산로99길 17,37.47493507,126.9024052,2025-01-02
독산3동,서울특별시 금천구 시흥대로146길 18,37.47387704,126.8997513,2025-01-02
독산3동,서울특별시 금천구 독산로102길 25,37.47585281,126.9050265,2025-01-02
독산3동,서울특별시 금천구 독산로96길 19-12,37.47562465,126.9047679,2025-01-02
독산3동,서울특별시 금천구 독산로102길 9,37.47586887,126.9041586,2025-01-02
독산3동,서울특별시 금천구 독산로94길 29,37.47523599,126.9041444,2025-01-02
독산3동,서울특별시 금천구 독산로92길 42,37.47372047,126.9058045,2025-01-02
독산3동,서울특별시 금천구 독산로92길 26,37.47373689,126.9048189,2025-01-02
독산3동,서울특별시 금천구 독산로54길 257,37.47337917,126.9059213,2025-01-02
독산3동,서울특별시 금천구 독산로54길 251,37.47304315,126.905876,2025-01-02
독산3동,서울특별시 금천구 독산로54길 237,37.47253164,126.9060944,2025-01-02
독산3동,서울특별시 금천구 독산로 341,37.47727632,126.9034731,2025-01-02
독산3동,서울특별시 금천구 독산로 335-1,37.47679702,126.9034171,2025-01-02
독산3동,서울특별시 금천구 독산로 317,37.47516041,126.9031745,2025-01-02
독산3동,서울특별시 금천구 독산로 299,37.47359232,126.9030945,2025-01-02
독산3동,서울특별시 금천구 가산로 2,37.47099762,126.9027962,2025-01-02
독산3동,서울특별시 금천구 가산로 14,37.47124589,126.9013356,2025-01-02
독산3동,서울특별시 금천구 가산로 26,37.47151277,126.9001489,2025-01-02
독산3동,서울특별시 금천구 독산로93길 18,37.47405971,126.9022657,2025-01-02
독산3동,서울특별시 금천구 남부순환로120길 48,37.4770498,126.9009703,2025-01-02
독산4동,서울특별시 금천구 시흥대로112길 11,37.46763813,126.899267,2025-01-02
독산4동,서울특별시 금천구 시흥대로110길 12,37.46692367,126.8992107,2025-01-02
독산4동,서울특별시 금천구 독산로82길 43,37.47156765,126.9063171,2025-01-02
독산4동,서울특별시 금천구 독산로78다길 19,37.46963572,126.9051023,2025-01-02
독산4동,서울특별시 금천구 독산로80길 62,37.4695408,126.9056068,2025-01-02
독산4동,서울특별시 금천구 독산로70길 103-5,37.46860228,126.9068233,2025-01-02
독산4동,서울특별시 금천구 독산로70길 96-5,37.46808435,126.9070199,2025-01-02
독산4동,서울특별시 금천구 독산로70길 96-20,37.46748574,126.9071576,2025-01-02
독산4동,서울특별시 금천구 독산로70길 96-16,37.46759664,126.9071342,2025-01-02
독산4동,서울특별시 금천구 가산로 19,37.47103892,126.9007857,2025-01-02
독산4동,서울특별시 금천구 가산로 5,37.47074468,126.9021114,2025-01-02
독산4동,서울특별시 금천구 독산로 263,37.47018496,126.9025298,2025-01-02
독산4동,서울특별시 금천구 독산로 233,37.4674735,126.9016108,2025-01-02
독산4동,서울특별시 금천구 범안로 1249,37.46664321,126.9008468,2025-01-02
독산4동,서울특별시 금천구 범안로 1239,37.46663228,126.8995297,2025-01-02
독산4동,서울특별시 금천구 독산로 251-1,37.46932767,126.9022344,2025-01-02
독산4동,서울특별시 금천구 독산로80길 13,37.47118218,126.9039408,2025-01-02
독산4동,서울특별시 금천구 독산로72길 70,37.46912272,126.9054852,2025-01-02
독산4동,서울특별시 금천구 독산로70길 103-5,37.46860228,126.9068233,2025-01-02
