행정동,도로명주소,지번주소,위도,경도,데이터기준일자
당산2동,서울특별시 영등포구 당산로40길 4,서울특별시 영등포구 당산동4가 32-1,37.5297579600,126.8993447000,2024-08-23
당산2동,서울특별시 영등포구 당산로40길 12,서울특별시 영등포구 당산동4가 32-198,37.5294394435,126.8999691465,2024-08-23
당산2동,서울특별시 영등포구 당산로36길 9-6,서울특별시 영등포구 당산동4가 32-81,37.5283294900,126.8991051000,2024-08-23
당산2동,서울특별시 영등포구 당산로36길 13,서울특별시 영등포구 당산동4가 32-95,37.5279553400,126.8992552000,2024-08-23
당산2동,서울특별시 영등포구 당산로35길 8,서울특별시 영등포구 당산동4가 73-13,37.5290741488,126.8970006731,2024-08-23
당산2동,서울특별시 영등포구 당산로41가길 7,서울특별시 영등포구 당산동4가 80-5,37.5310115134,126.8973478267,2024-08-23
당산2동,서울특별시 영등포구 당산로50길 7-5,서울특별시 영등포구 당산동6가 103-17,37.5348132397,126.9043764357,2024-08-23
당산2동,서울특별시 영등포구 당산로50길 9,서울특별시 영등포구 당산동6가 104-46,37.5346346200,126.9039976000,2024-08-23
당산2동,서울특별시 영등포구 당산로46가길 7,서울특별시 영등포구 당산동6가 237-17,37.5340708058,126.9039207465,2024-08-23
당산2동,서울특별시 영등포구 당산로50길 18,서울특별시 영등포구 당산동6가 237-5,37.5338868800,126.9043267000,2024-08-23
당산2동,서울특별시 영등포구 양평로12가길 2,서울특별시 영등포구 당산동6가 346-2,37.5363005800,126.9007368000,2024-08-23
당산2동,서울특별시 영등포구 국회대로55길 29,서울특별시 영등포구 당산동 121-119,37.5278020300,126.9073376000,2024-08-23
당산2동,서울특별시 영등포구 국회대로53길 28-4,서울특별시 영등포구 당산동 173-20,37.5278819800,126.9068099000,2024-08-23
당산2동,서울특별시 영등포구 당산로54길 32,서울특별시 영등포구 당산동6가 110-71,37.5335042100,126.9059909000,2024-08-23
당산2동,서울특별시 영등포구 당산역 6번출구 앞 ,,,,2024-08-23
당산2동,서울특별시 영등포구 국회대로53길 24-10,서울특별시 영등포구 당산동 171-30,37.5274573566,126.9069994184,2024-08-23
도림동,서울특별시 영등포구 도신로25길 5,서울특별시 영등포구 도림동 147-34,37.5078836492,126.9025313901,2024-08-23
도림동,서울특별시 영등포구 도림로112길 18,서울특별시 영등포구 도림동 144-185,37.5090379452,126.9020100669,2024-08-23
도림동,서울특별시 영등포구 도림로112길 6,서울특별시 영등포구 도림동 154-21,37.5086294903,126.9008946175,2024-08-23
도림동,서울특별시 영등포구 도림로108가길 3,서울특별시 영등포구 도림동 152-33,37.5076768109,126.9012685453,2024-08-23
도림동,서울특별시 영등포구 도림로113길 3,서울특별시 영등포구 도림동 156-3,37.5086793376,126.8995338134,2024-08-23
도림동,서울특별시 영등포구 도림로113길 17,서울특별시 영등포구 도림동 234-1,37.5088299665,126.8979351283,2024-08-23
도림동,서울특별시 영등포구 도신로19길 5,서울특별시 영등포구 도림동 251-3,37.5068206624,126.9003933751,2024-08-23
도림동,서울특별시 영등포구 도신로15나길 13-9,서울특별시 영등포구 도림동 247-31,37.5070202469,126.8990278778,2024-08-23
도림동,서울특별시 영등포구 도신로15가길 2,서울특별시 영등포구 도림동 250-11,37.5060810731,126.8989617359,2024-08-23
